Date,PreScore,Pre수익,Pre누적수익,균등수익,균등누적수익,PortScore,CashScore,PortReturn,PortCashReturn,Port최종수익,Port최종누적수익
2012-01-31,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,1.0
2012-02-29,0.14285714285714285,1.0013247080122756,1.0013247080122756,1.0127260582834972,1.0127260582834972,0.16666666666666666,0.8333333333333334,0.0,1.0013247080122756,1.0013247080122756,1.0013247080122756
2012-03-30,0.14285714285714285,0.9994297835409608,1.0007537361829244,0.9974107515840769,1.0101038589413225,0.16666666666666666,0.8333333333333334,0.1665716305901601,0.8330117816535475,0.9995834122437076,1.0009075683988446
2012-04-30,0.4,1.004398675696566,1.0051557273205198,1.0038495677778647,1.0139923222089997,0.5,0.5,0.16739977928276098,0.8383606665857881,1.0057604458685492,1.0066732422660274
2012-05-31,0.4,0.9998412712795332,1.0049961802380523,0.9804224383951219,0.9941408250540796,0.5,0.5,0.4999206356397666,0.5032559363283562,1.0031765719681227,1.0098710122684689
2012-06-29,0.5,1.0045812123949434,1.0096002811958296,1.0044692588874085,0.9985838977717881,0.8333333333333334,0.16666666666666663,0.5022906061974717,0.5016610029190084,1.0039516091164802,1.013861627767018
2012-07-31,0.5714285714285715,1.0233450797199843,1.0331694802456648,1.023109144035797,1.0216603168972238,1.0,0.0,0.8527875664333203,0.16919424934232186,1.0219818157756422,1.0361481472905854
2012-08-31,0.5714285714285715,1.0063766404020722,1.0397576304955873,1.0049596092016115,1.0267273528058287,1.0,0.0,1.0063766404020722,0.0,1.0063766404020722,1.0427552914291307
2012-09-28,0.625,1.009609315196008,1.0497489892944738,1.0184000153265127,1.0456191518336058,1.0,0.0,1.009609315196008,0.0,1.009609315196008,1.0527754556967783
2012-10-31,0.625,0.9912117876439728,1.040523572256029,0.9870920086263371,1.0321223088416007,0.8333333333333334,0.16666666666666663,0.9912117876439728,0.0,0.9912117876439728,1.0435234414289016
2012-11-30,0.625,1.0042629438826483,1.0449592658531293,1.0057922443499625,1.0381006134534587,0.8333333333333334,0.16666666666666663,0.8368857865688736,0.16675316330565437,1.003638949874528,1.0473207709251564
2012-12-28,0.6000000000000001,1.0118167124213997,1.0573072489897926,1.0124584073975904,1.0510336938155505,1.0,0.0,0.8431805936844998,0.16703188129642368,1.0102124749809236,1.058016508095231
2013-01-31,0.625,0.9944429723518605,1.051431763374578,0.9966114601877343,1.0474722243000238,0.8333333333333334,0.16666666666666663,0.9944429723518605,0.0,0.9944429723518605,1.0521370811075579
2013-02-28,0.6666666666666666,1.0166482205168084,1.0689362312296147,1.019140080473562,1.0675209269669472,1.0,0.0,0.8472068504306737,0.16770147117630962,1.0149083216069834,1.0678226790873422
2013-03-29,0.625,0.999932739138393,1.0688643336576993,0.999932739138393,1.0674491245896158,0.8333333333333334,0.16666666666666663,0.999932739138393,0.0,0.999932739138393,1.0677508564139033
2013-04-30,0.5714285714285715,0.9952799661617098,1.0638192578342933,0.992571675454213,1.059519766056048,0.6666666666666666,0.33333333333333337,0.8293999718014249,0.16695417528326525,0.9963541470846902,1.063857993841222
2013-05-31,0.5,0.9919270941470553,1.0552311451212475,0.998449406017229,1.0578768810821746,0.3333333333333333,0.6666666666666667,0.6612847294313702,0.33131040683299623,0.9925951362643664,1.0559802703627632
2013-06-28,0.0,0.9754803533450163,1.0293572503035406,0.9678185666629928,1.0238328867548676,0.0,1.0,0.3251601177816721,0.6656438089273911,0.9908039267090631,1.0462693984027238
2013-07-31,0.14285714285714285,1.000135893710212,1.029497133479418,1.007656249630671,1.0316716069159533,0.16666666666666666,0.8333333333333334,0.0,1.000135893710212,1.000135893710212,1.0464115798331541
2013-08-30,0.3333333333333333,1.005343463811247,1.034998214155948,1.0061575651361805,1.0380241920346862,0.3333333333333333,0.6666666666666667,0.16755724396854116,0.8368521537968421,1.0044093977653832,1.0510256247149414
2013-09-30,0.5384615384615385,1.013348381620997,1.0488137652955518,1.019053166640047,1.0578018399419233,0.5,0.5,0.3377827938736656,0.6697404940327506,1.0075232879064162,1.058932793086693
2013-10-31,0.625,1.0096166834458402,1.058899875270039,1.010363774555904,1.068764659735902,0.8333333333333334,0.16666666666666663,0.5048083417229201,0.501295028128011,1.0061033698509312,1.0653958515701807
2013-11-29,0.5714285714285715,0.9980927356780437,1.0568802733174123,0.9964880228748793,1.065011182698772,0.8333333333333334,0.16666666666666663,0.8317439463983698,0.16612760446267724,0.9978715508610471,1.0631282106872622
2013-12-30,0.5714285714285715,0.9997014730702223,1.0565647660942763,1.002107438305937,1.0672556280614427,0.6666666666666666,0.33333333333333337,0.8330845608918519,0.16769472665699078,1.0007792875488426,1.063956693264674
2014-01-29,0.4545454545454546,0.9881434417805722,1.0440375444324834,0.9859011766422716,1.052208579483863,0.3333333333333333,0.6666666666666667,0.6587622945203815,0.3338656775367919,0.9926279720571733,1.0561131747919694
2014-02-28,0.5714285714285715,1.0088728773829794,1.0533011615474597,1.0113606138554154,1.0641623148507342,0.5,0.5,0.33629095912765977,0.6695950348043757,1.0058859939320355,1.0623294505303378
2014-03-31,0.5714285714285715,1.0019579109992685,1.0553634314771956,1.0015598767757357,1.065822276931283,0.5,0.5,0.5009789554996342,0.5008756926165285,1.0018546481161628,1.064299697844508
2014-04-30,0.5384615384615383,1.0007196670060372,1.0561229417182079,0.9984848888610678,1.0642074377273825,0.5,0.5,0.5003598335030186,0.5014313757565844,1.0017912092596029,1.0662060813182797
2014-05-30,0.625,1.0114200978496377,1.068183969053877,1.0135656794264232,1.0786441346708073,1.0,0.0,0.5057100489248189,0.5022887611124704,1.0079988100372894,1.0747344612233474
2014-06-30,0.625,1.0084443675472619,1.077204107096661,1.007506104486455,1.0867405502493483,1.0,0.0,1.0084443675472619,0.0,1.0084443675472619,1.0838099140296258
